Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+												
2010	93	0	0	0	0	0	0	0	1	5	10	12	19	11	4	9	6	5	11
2011	104	0	0	0	0	0	1	0	2	4	10	11	13	19	12	8	9	6	9
2012	113	0	0	0	0	0	0	1	2	6	10	17	20	13	17	9	3	10	5
2013	108	0	0	0	0	0	0	1	0	3	8	16	13	14	20	8	11	5	9
2014	111	0	0	0	0	0	0	0	1	4	9	10	13	20	14	14	8	8	10
2015	128	0	0	0	0	0	0	0	3	6	8	14	15	31	20	13	8	3	7
2016	135	0	0	0	0	0	1	1	3	1	8	19	26	17	27	9	14	6	3
2017	125	0	0	0	0	0	2	1	3	4	3	9	15	24	21	22	6	10	5
2018	154	0	0	0	0	0	0	0	4	2	9	8	28	24	25	23	13	9	9
2019	138	0	0	0	0	0	0	0	2	2	5	13	12	25	23	25	12	11	8
