Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+												
2010	730	0	0	0	0	4	37	69	90	100	98	63	64	40	40	34	39	26	26
2011	732	0	0	0	0	3	34	73	90	102	79	77	59	49	31	28	35	40	32
2012	731	0	0	0	1	5	44	72	75	106	100	71	51	43	45	32	36	25	25
2013	661	0	0	0	0	4	40	69	90	111	65	43	56	33	33	34	34	23	26
2014	736	0	0	0	0	2	42	95	82	111	86	75	53	42	31	28	39	21	29
2015	709	0	0	0	0	7	48	77	74	87	96	74	49	43	37	34	40	26	17
2016	805	0	0	0	0	4	44	102	96	104	99	84	71	48	31	33	32	27	30
2017	771	0	0	0	1	3	36	108	98	86	102	70	58	49	39	46	31	22	22
2018	844	0	0	0	0	0	53	113	100	96	106	98	68	52	37	42	29	25	25
2019	910	0	1	0	0	4	34	148	100	102	125	86	78	52	44	46	38	27	25
