Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
2010	366	0	0	0	0	0	0	0	2	12	32	51	60	79	61	36	18	7	8
2011	413	0	0	0	0	0	0	1	2	10	25	58	79	98	58	35	24	16	7
2012	397	0	0	0	0	0	0	1	2	4	20	55	77	84	74	40	21	12	7
2013	403	0	0	0	0	1	0	0	1	3	23	35	77	99	77	45	26	8	8
2014	422	0	0	0	0	0	1	0	1	8	18	48	82	87	69	61	27	12	8
2015	426	0	0	0	0	0	0	0	3	5	22	40	63	89	91	56	33	13	11
2016	482	0	0	0	0	1	1	0	2	7	22	52	76	103	91	71	30	17	9
2017	465	0	0	0	0	0	0	0	0	7	22	56	73	83	91	71	32	19	11
2018	474	0	0	0	0	0	0	1	1	3	17	43	79	96	95	76	35	15	13
2019	486	0	0	1	0	1	0	2	1	6	20	46	81	92	96	81	30	18	11
