Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+														
2010	192	0	0	0	0	1	1	0	0	2	11	28	42	38	23	29	8	8	1
2011	206	0	0	0	0	0	1	0	5	2	12	20	33	56	39	16	10	4	8
2012	220	0	0	0	0	0	1	0	3	7	6	19	43	44	44	21	14	9	9
2013	207	0	0	0	0	0	0	0	1	2	11	23	35	35	45	26	14	6	9
2014	214	0	0	0	0	0	0	1	0	2	13	19	43	45	29	22	16	16	8
2015	189	0	0	0	0	0	0	0	0	2	8	15	40	37	46	19	15	3	4
2016	210	0	0	0	0	0	0	1	0	3	11	19	33	42	50	23	14	9	5
2017	202	0	0	0	0	0	0	0	0	2	7	23	22	42	48	25	20	9	4
2018	219	0	0	0	0	1	0	0	0	3	9	15	32	58	34	42	14	9	2
2019	199	0	0	0	0	0	0	1	1	2	12	11	29	35	44	30	23	4	7
