Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+									
2010	141	0	0	0	0	0	0	0	3	6	10	8	13	24	15	20	16	14	12
2011	147	0	0	0	0	0	1	2	1	2	5	4	8	26	25	25	20	13	15
2012	138	0	0	0	0	0	0	0	2	3	5	10	8	18	18	26	24	12	12
2013	141	0	0	0	0	0	0	1	2	3	5	11	8	18	23	26	15	20	9
2014	123	0	0	0	0	0	0	0	1	2	4	5	11	13	27	11	22	11	16
2015	153	0	0	0	0	0	0	0	0	4	7	8	11	17	25	18	21	25	17
2016	167	0	0	0	0	0	0	0	0	2	7	10	13	16	23	25	26	27	18
2017	165	0	0	0	0	0	0	1	0	2	10	9	10	18	25	25	27	18	20
2018	187	0	0	0	0	0	0	0	3	4	5	9	14	28	28	31	29	19	17
2019	201	0	0	0	0	0	0	0	1	1	9	9	16	17	33	42	32	21	20
