Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+														
2010	49	0	0	0	0	0	0	0	1	1	2	2	7	8	3	7	6	5	7
2011	59	0	0	0	0	0	0	1	1	1	1	7	5	9	4	8	4	8	10
2012	55	0	0	0	0	0	0	0	1	5	2	5	4	6	3	1	11	12	5
2013	39	0	0	0	0	0	0	0	0	0	1	3	5	4	5	9	1	4	7
2014	41	0	0	0	0	0	1	3	0	2	2	0	1	5	3	4	8	8	4
2015	53	0	0	0	0	0	0	0	2	2	0	5	5	6	9	3	5	9	7
2016	41	0	0	1	0	0	0	3	1	0	3	1	5	3	4	1	7	8	4
2017	52	0	0	0	0	0	0	0	0	3	1	3	5	5	9	7	6	8	5
2018	56	0	0	0	0	0	0	1	0	0	0	2	7	7	6	8	10	6	9
2019	42	0	0	0	0	0	0	1	0	1	1	8	2	2	5	4	7	7	4
