Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+														
2010	347	0	0	0	0	0	2	3	7	12	17	30	17	28	49	40	44	39	59
2011	396	0	0	0	1	0	1	6	6	13	26	24	24	36	32	57	47	61	62
2012	350	0	0	0	0	1	0	2	6	10	14	29	31	32	36	45	51	41	52
2013	349	0	0	0	0	0	2	3	6	18	9	17	27	33	41	38	54	46	55
2014	415	0	0	0	0	1	3	3	7	17	25	28	25	32	50	51	55	59	59
2015	379	0	0	0	0	1	0	2	9	7	24	27	26	29	47	40	56	55	56
2016	415	0	0	0	0	0	0	3	4	8	22	25	37	37	31	58	58	50	82
2017	410	0	0	0	0	0	1	2	6	10	19	24	27	43	51	51	56	52	68
2018	427	0	0	0	0	0	1	3	4	12	23	33	26	34	62	46	69	46	68
2019	461	0	0	0	0	1	5	6	8	11	20	34	25	51	44	64	56	53	83
