Year	Total	0-5	5-10	10-15	15-20	20-25	25-30	30-35	35-40	40-45	45-50	50-55	55-60	60-65	65-70	70-75	75-80	80-85	85-90	90-95	95-100	100+
2010	8203476	473374	512808	504126	519322	511916	503012	500713	591406	655752	650126	591039	544323	536910	383052	291874	215467	133496	64937	16653	2926	244
2011	8243482	472308	503882	510974	514830	522667	504117	503323	560289	653664	655302	601040	546952	553446	390725	302542	219108	139348	66949	18812	2961	243
2012	8282871	470167	495725	515672	511084	530628	509383	505168	534971	648488	654971	610743	553696	536329	432989	310115	224507	144421	69526	20912	3144	232
2013	8307339	467233	485899	519387	507759	534217	515626	505399	514199	636830	652230	619877	558271	526876	466591	320207	229236	149695	71959	22343	3245	260
2014	8334385	459794	479135	519726	509469	537679	522520	504790	504694	616191	648065	629198	565898	522346	488688	331824	238308	153762	74521	24176	3323	278
2015	8372858	454728	476048	515675	512283	542322	529400	508503	500143	586818	647318	638084	575631	522826	503209	346275	247171	158901	77940	25678	3609	296
2016	8417135	449312	476011	507764	521725	541020	540790	511331	504350	557618	646349	643844	585735	525615	519227	353646	257171	163046	81748	26376	4183	274
2017	8475102	447152	475593	501845	530288	542404	552023	519664	508665	534389	643263	644905	596070	532366	503756	392865	264275	168051	85084	27597	4527	320
2018	8527041	445020	475503	494511	536852	542817	560319	530554	512925	516723	634188	644223	606130	537540	495875	424486	273902	172825	88775	28774	4776	323
2019	8581086	443658	470233	489531	538304	548282	569071	543375	516735	510460	616540	641987	616601	545999	492006	445416	284920	181154	91558	29673	5244	339
2020	8648031	441495	466869	488350	536228	555665	578599	556666	525197	509422	590441	644054	626683	556408	493254	459545	298045	189008	95291	30984	5435	392
