Year	Total	0-5	5-10	10-15	15-20	20-25	25-30	30-35	35-40	40-45	45-50	50-55	55-60	60-65	65-70	70-75	75-80	80-85	85-90	90-95	95-100	100+
2010	8371513	451507	490441	480655	496101	500994	496343	498845	589543	641028	638431	586328	538521	533097	392897	326684	280360	217812	143882	53248	13297	1499
2011	8412317	450798	481347	487766	491914	512062	497421	501441	561279	642261	642990	595279	543295	550206	399835	334976	280213	221480	145107	57379	13707	1561
2012	8447477	448569	472967	493559	487011	518909	501928	504091	536815	640065	642334	605700	550846	534161	441067	339638	282037	224161	146361	61381	14199	1678
2013	8472236	444969	464087	496347	485092	522470	507764	504070	516613	633360	639794	615034	556906	524921	475223	347373	282895	228168	146808	64126	14538	1678
2014	8494904	437875	457027	496517	486497	524630	514258	502087	506994	616124	637413	624069	565411	521858	497072	357123	288920	229285	147830	67597	14502	1815
2015	8527868	433594	453607	493414	488710	526710	521274	504238	501857	590046	638599	632100	575755	523358	511223	369468	295363	231591	149681	70400	15006	1874
2016	8561985	427542	454027	485116	497002	524926	530212	506010	505063	562364	640395	636675	584879	528137	527476	375866	303174	231890	152552	70602	16250	1827
2017	8606405	425137	453587	478454	505117	523839	538064	512458	509522	539491	639328	636712	595535	535976	511885	414994	307610	234068	154720	70879	17124	1905
2018	8654043	423079	452563	471948	511180	525964	545838	522235	512431	521589	634635	635623	605380	542198	503662	447439	314838	235430	157712	70636	17806	1857
2019	8701077	422404	447209	466784	513715	531643	552792	533531	514558	514928	619179	634869	614931	550840	501068	467968	323806	240960	158510	71290	18242	1850
2020	8759554	419977	444554	464854	512930	538920	560366	545437	520631	512586	595627	637772	623909	561390	502794	481674	335155	247048	160910	72134	18880	2006
