Year	Total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+													
2010	83	0	0	0	0	0	0	0	1	5	2	7	9	13	18	13	8	4	3
2011	80	0	0	0	0	0	0	0	2	3	6	10	15	15	7	7	6	6	3
2012	101	0	0	0	0	0	0	1	1	7	8	8	10	15	15	13	9	7	7
2013	109	0	0	0	0	0	0	1	5	3	9	17	12	12	18	16	7	5	4
2014	95	0	0	0	0	0	1	1	2	5	7	11	16	9	15	11	11	3	3
2015	120	0	0	0	0	0	0	0	1	2	13	7	22	11	22	14	18	6	4
2016	122	0	0	0	0	0	1	1	4	5	7	10	20	15	20	19	10	7	3
2017	119	0	0	0	0	0	0	1	1	3	7	12	11	17	15	17	20	6	9
2018	136	0	0	0	0	0	0	1	3	3	7	12	16	15	37	18	12	9	3
2019	117	0	0	0	0	0	0	1	2	5	4	9	14	17	19	17	9	10	10
